Text #,URL,Topic,Valid?,Comments
1,http://en.wikipedia.org/wiki/Types_of_business_entity,Types of Business Entity,no,
2,http://en.wikipedia.org/wiki/Stan_Lee,Stan Lee,yes,writer/publisher/producer for Marvel
3,http://en.wikipedia.org/wiki/Comics,Comics,yes,Marvel produces comics. 
4,http://en.wikipedia.org/wiki/List_of_Marvel_Comics_publications_(A%E2%80%93M),List of Marvel Comic Publications,yes,self explainitory
5,http://en.wikipedia.org/wiki/United_States_dollar,US Dollar,no,
6,http://en.wikipedia.org/wiki/The_Walt_Disney_Company,The Walt Disney Company,yes,Disney aquired Marvel in 2009
7,http://en.wikipedia.org/wiki/Fantastic_Four,The Fantastic Four,yes,Comic Published by Marvel
8,http://en.wikipedia.org/wiki/Jack_Kirby,Jack Kirby,yes,Artist for Marvel
9,http://en.wikipedia.org/wiki/Steve_Ditko,Steve Ditko,yes,Artist for Marvel
10,http://en.wikipedia.org/wiki/Spider-Man,Spider Man,yes,Comic Published by Marvel
11,http://en.wikipedia.org/wiki/X-Men,The X-Men,yes,Comic Published by Marvel
12,http://en.wikipedia.org/wiki/Iron_Man,Iron Man,yes,Comic Published by Marvel
13,http://en.wikipedia.org/wiki/Hulk_(comics),The Hulk,yes,Comic Published by Marvel
14,http://en.wikipedia.org/wiki/Avengers_(comics),The Avengers,yes,Comic Published by Marvel
15,http://en.wikipedia.org/wiki/Wolverine_(comics),Wolverine,yes,Character in a Marvel Series
16,http://en.wikipedia.org/wiki/Thor_(Marvel_Comics),Thor,yes,Comic Published by Marvel
17,http://en.wikipedia.org/wiki/Captain_America,Captain America,yes,Comic Published by Marvel
18,http://en.wikipedia.org/wiki/Doctor_Doom,Doctor Doom,yes,Character in a Marvel Series
19,http://en.wikipedia.org/wiki/Green_Goblin,The Green Goblin,yes,Character in a Marvel Series
20,http://en.wikipedia.org/wiki/Magneto_(comics),Magneto,yes,Character in a Marvel Series
21,http://en.wikipedia.org/wiki/Galactus,Galactus,yes,Character in a Marvel Series
22,http://en.wikipedia.org/wiki/Loki_(Marvel_Comics),Loki,yes,Character in a Marvel Series
23,http://en.wikipedia.org/wiki/Red_Skull,Red Skull,yes,Character in a Marvel Series
24,http://en.wikipedia.org/wiki/Marvel_Universe,The Marvel Universe,yes,self explainitory
25,http://en.wikipedia.org/wiki/New_York_City,New York City,no,"Office is located in New York City, many series take place in New York"
26,http://en.wikipedia.org/wiki/Los_Angeles,Los Angeles,no,Many series take place in LA
27,http://en.wikipedia.org/wiki/Chicago,Chicago,no,Many series take place in Chicago
28,http://en.wikipedia.org/wiki/New_York,New York State,no,"Office is located in New York City, many series take place in New York"
29,http://en.wikipedia.org/wiki/Namor,Namor,yes,Character in a Marvel Series
30,http://en.wikipedia.org/wiki/World_War_II,World War 2,no,Many of the original artists and authors including Stan Lee server in WW2
